StoreID,StoreName,FirstOrderDate,LastOrderDate,TradingDurationDays,TotalRevenue
412,Gasless Cycle Shop,00:00.0,00:00.0,1004,68327866.32
512,Metal Processing Company,00:00.0,00:00.0,1004,68327866.32
592,Retail Mall,00:00.0,00:00.0,1005,68327866.32
608,Two-Wheeled Transit Company,00:00.0,00:00.0,1004,68327866.32
648,Corner Bicycle Supply,00:00.0,00:00.0,1004,68327866.32
780,Finer Riding Supplies,00:00.0,00:00.0,1004,68327866.32
794,Rewarding Activities Company,00:00.0,00:00.0,1004,68327866.32
812,Sundry Sporting Goods,00:00.0,00:00.0,1004,68327866.32
828,Vigorous Exercise Company,00:00.0,00:00.0,1004,68327866.32
852,Original Bicycle Supply Company,00:00.0,00:00.0,1005,68327866.32
908,General Bike Corporation,00:00.0,00:00.0,1005,68327866.32
970,Primary Bike Distributors,00:00.0,00:00.0,1004,68327866.32
998,Greater Bike Store,00:00.0,00:00.0,1004,68327866.32
1322,Rapid Bikes,00:00.0,00:00.0,1004,68327866.32
1418,"Health Spa, Limited",00:00.0,00:00.0,1005,68327866.32
1882,Red Bicycle Company,00:00.0,00:00.0,1005,68327866.32
1946,Swift Cycles,00:00.0,00:00.0,1004,64398908.52
1992,Totes & Baskets Company,00:00.0,00:00.0,1004,64398908.52
1414,Bike Dealers Association,00:00.0,00:00.0,1005,64398908.52
1296,Trailblazing Sports,00:00.0,00:00.0,1004,64398908.52
1066,Small Bike Shop,00:00.0,00:00.0,1004,64398908.52
1134,Highway Bike Shop,00:00.0,00:00.0,1004,64398908.52
1214,Sturdy Toys,00:00.0,00:00.0,1004,64398908.52
1204,Racing Toys,00:00.0,00:00.0,1004,64398908.52
900,Basic Sports Equipment,00:00.0,00:00.0,1004,64398908.52
816,Farthermost Bike Shop,00:00.0,00:00.0,1004,64398908.52
788,Paint Supply,00:00.0,00:00.0,1004,64398908.52
642,Advanced Bike Components,00:00.0,00:00.0,1004,64398908.52
662,Fitness Toy Store,00:00.0,00:00.0,1005,64398908.52
496,Grease and Oil Products Company,00:00.0,00:00.0,1005,64398908.52
370,Resale Services,00:00.0,00:00.0,1004,64398908.52
372,The Gear Store,00:00.0,00:00.0,1004,64398908.52
302,Area Bike Accessories,00:00.0,00:00.0,1005,64398908.52
1828,Major Cycling,00:00.0,00:00.0,914,62633877.46
1478,Metropolitan Manufacturing,00:00.0,00:00.0,912,59032332.81
1392,Discount Tours,00:00.0,00:00.0,913,59032332.81
1056,General Department Stores,00:00.0,00:00.0,1004,56939888.6
1082,First Cycle Store,00:00.0,00:00.0,1004,53665757.1
342,Mountain Toy Store,00:00.0,00:00.0,913,53665757.1
312,Vinyl and Plastic Goods Corporation,00:00.0,00:00.0,1004,51245899.74
466,Scratch-Resistant Finishes Company,00:00.0,00:00.0,730,51245899.74
1044,Superb Sales and Repair,00:00.0,00:00.0,1005,51245899.74
1192,Non-Slip Pedal Company,00:00.0,00:00.0,822,51245899.74
1182,New and Used Bicycles,00:00.0,00:00.0,1004,47100857.18
1164,Consolidated Sales,00:00.0,00:00.0,1004,47100857.18
1090,General Associates,00:00.0,00:00.0,1004,47100857.18
1046,Better Bike Shop,00:00.0,00:00.0,1005,47100857.18
1018,Trusted Catalog Store,00:00.0,00:00.0,1005,47100857.18
1350,Every Bike Shop,00:00.0,00:00.0,1004,47100857.18
752,Elemental Sporting Goods,00:00.0,00:00.0,1004,47100857.18
814,Excellent Riding Supplies,00:00.0,00:00.0,1004,47100857.18
826,Bike Goods ,00:00.0,00:00.0,1004,47100857.18
928,Rural Cycle Emporium,00:00.0,00:00.0,639,45551910.88
864,Price-Cutter Discount Bikes,00:00.0,00:00.0,1004,45551910.88
738,Sixth Bike Store,00:00.0,00:00.0,638,45551910.88
768,Citywide Service and Repair,00:00.0,00:00.0,640,45551910.88
732,Urban Sports Emporium,00:00.0,00:00.0,639,45551910.88
668,General Cycle Storehouse,00:00.0,00:00.0,638,45551910.88
622,Bikes and Motorbikes,00:00.0,00:00.0,639,45551910.88
510,Bikes for Two,00:00.0,00:00.0,639,45551910.88
562,Custom Accessories Company,00:00.0,00:00.0,639,45551910.88
324,Valley Toy Store,00:00.0,00:00.0,639,45551910.88
356,Serious Cycles,00:00.0,00:00.0,822,45551910.88
428,Finer Cycle Shop,00:00.0,00:00.0,639,45551910.88
1340,Cycle Merchants,00:00.0,00:00.0,639,45551910.88
1394,Tire Exchange,00:00.0,00:00.0,639,45551910.88
1312,National Manufacturing,00:00.0,00:00.0,638,45551910.88
1444,Remote Bicycle Specialists,00:00.0,00:00.0,639,45551910.88
1406,Professional Cyclists,00:00.0,00:00.0,638,45551910.88
1430,Leather Seat Factory,00:00.0,00:00.0,640,45551910.88
1840,Top Sports Supply,00:00.0,00:00.0,640,45551910.88
1864,Plastic Parts Company,00:00.0,00:00.0,912,45551910.88
1798,One Bike Company,00:00.0,00:00.0,639,45551910.88
1816,Famous Bike Shop,00:00.0,00:00.0,639,45551910.88
1040,Family Cycle Store,00:00.0,00:00.0,639,45551910.88
986,Metro Manufacturing,00:00.0,00:00.0,639,45551910.88
948,Standard Bikes,00:00.0,00:00.0,639,45551910.88
1162,Bikes for Kids and Adults,00:00.0,00:00.0,640,45551910.88
1200,General Supplies,00:00.0,00:00.0,639,45551910.88
1236,Twelfth Bike Store,00:00.0,00:00.0,639,45551910.88
1988,Retreat Inn,00:00.0,00:00.0,639,45551910.88
1896,Tenth Bike Store,00:00.0,00:00.0,638,45551910.88
1086,Seventh Bike Store,00:00.0,00:00.0,1005,43285787.25
1356,Larger Cycle Shop,00:00.0,00:00.0,1004,43285787.25
344,Retail Sales and Service,00:00.0,00:00.0,1004,43285787.25
544,Painters Bicycle Specialists,00:00.0,00:00.0,1004,43285787.25
728,Wholesale Bikes,00:00.0,00:00.0,1004,43285787.25
832,Lease-a-Bike Shop,00:00.0,00:00.0,1004,43285787.25
846,Super Sports Store,00:00.0,00:00.0,1004,43285787.25
1362,Metro Bike Mart,00:00.0,00:00.0,1004,43175785.75
1310,Unified Sports Company,00:00.0,00:00.0,1004,43175785.75
1456,Sunny Place Bikes,00:00.0,00:00.0,912,43175785.75
1836,Extraordinary Bike Works,00:00.0,00:00.0,639,42932605.68
1254,Mountain Bike Center,00:00.0,00:00.0,639,42932605.68
1256,Specialty Sports Store,00:00.0,00:00.0,640,42932605.68
1278,Many Bikes Store,00:00.0,00:00.0,639,42932605.68
1334,Chic Department Stores,00:00.0,00:00.0,639,42932605.68
1336,Eastside Department Store,00:00.0,00:00.0,639,42932605.68
1376,Sports Products Store,00:00.0,00:00.0,639,42932605.68
1108,Affordable Sports Equipment,00:00.0,00:00.0,638,42932605.68
1184,Separate Parts Corporation,00:00.0,00:00.0,639,42932605.68
950,The Bicycle Accessories Company,00:00.0,00:00.0,639,42932605.68
958,Big-Time Bike Store,00:00.0,00:00.0,639,42932605.68
932,Modular Cycle Systems,00:00.0,00:00.0,640,42932605.68
976,Genial Bike Associates,00:00.0,00:00.0,639,42932605.68
1002,Distant Inn,00:00.0,00:00.0,640,42932605.68
1014,Bike World,00:00.0,00:00.0,639,42932605.68
1026,Metropolitan Sports Supply,00:00.0,00:00.0,639,42932605.68
848,Satin Finish Company,00:00.0,00:00.0,639,42932605.68
790,Preferred Bikes,00:00.0,00:00.0,638,42932605.68
874,Real Sporting Goods,00:00.0,00:00.0,640,42932605.68
914,Social Activities Club,00:00.0,00:00.0,1004,42932605.68
776,Principal Bike Company,00:00.0,00:00.0,639,42932605.68
742,Vehicle Shop,00:00.0,00:00.0,913,42932605.68
556,Mechanical Products Ltd.,00:00.0,00:00.0,639,42932605.68
598,Sheet Metal Manufacturing,00:00.0,00:00.0,639,42932605.68
570,Professional Cycle Store,00:00.0,00:00.0,640,42932605.68
506,Third Bike Store,00:00.0,00:00.0,639,42932605.68
474,Number 1 Supply,00:00.0,00:00.0,639,42932605.68
478,Golf and Cycle Store,00:00.0,00:00.0,638,42932605.68
484,World Bike Discount Store,00:00.0,00:00.0,914,42932605.68
492,Coalition Bike Company,00:00.0,00:00.0,639,42932605.68
398,Grand Bicycle Stores,00:00.0,00:00.0,639,42932605.68
1944,Quantity Discounts,00:00.0,00:00.0,639,42932605.68
1968,Solid Bike Parts,00:00.0,00:00.0,638,42932605.68
332,Family's Favorite Bike Shop,00:00.0,00:00.0,639,39857922.02
1132,General Industries,00:00.0,00:00.0,639,39857922.02
298,The Bike Mechanics,00:00.0,00:00.0,1004,39678638.31
716,Famous Bike Sales and Service,00:00.0,00:00.0,913,39678638.31
764,Fashionable Bikes and Accessories,00:00.0,00:00.0,1004,39584333.93
318,Great Bikes ,00:00.0,00:00.0,1005,39584333.93
368,Brightwork Company,00:00.0,00:00.0,1004,39584333.93
498,Moderately-Priced Bikes Store,00:00.0,00:00.0,1004,39584333.93
518,Latest Sports Equipment,00:00.0,00:00.0,1005,39584333.93
600,Thorough Parts and Repair Services,00:00.0,00:00.0,1004,39584333.93
1016,Central Discount Store,00:00.0,00:00.0,1004,39584333.93
1032,Brakes and Gears,00:00.0,00:00.0,1004,39584333.93
1970,Permanent Finish Products,00:00.0,00:00.0,1004,39584333.93
1900,Fun Times Club,00:00.0,00:00.0,1004,38460168.92
1050,First Bike Store,00:00.0,00:00.0,1005,38460168.92
1332,Catalog Store,00:00.0,00:00.0,1004,38460168.92
392,Small Cycle Store,00:00.0,00:00.0,1005,38460168.92
296,Riders Company,00:00.0,00:00.0,1004,38460168.92
672,Good Bike Shop,00:00.0,00:00.0,1004,38460168.92
694,Genuine Bike Shop,00:00.0,00:00.0,821,37566029.97
526,Futuristic Bikes,00:00.0,00:00.0,639,37566029.97
1838,Valley Bicycle Distributors,00:00.0,00:00.0,547,37566029.97
1458,Alpine Ski House,00:00.0,00:00.0,546,37566029.97
966,The New Bike Store,00:00.0,00:00.0,547,37566029.97
388,Remarkable Bike Store,00:00.0,00:00.0,913,36285639.43
1344,Exotic Bikes,00:00.0,00:00.0,1004,36071489.37
1338,Sports Sales and Rental,00:00.0,00:00.0,1005,35325642.89
654,Ultimate Bike Shop,00:00.0,00:00.0,1004,35325642.89
348,Bold Bike Accessories,00:00.0,00:00.0,1004,35255154.84
806,Certified Sports Supply,00:00.0,00:00.0,1004,34163933.16
844,Future Bikes,00:00.0,00:00.0,548,34163933.16
1364,Tandem Sales and Service,00:00.0,00:00.0,456,34163933.16
1368,Reliable Retail Center,00:00.0,00:00.0,639,34163933.16
612,Metro Cycle Shop,00:00.0,00:00.0,1004,32986944.94
574,Fifth Bike Store,00:00.0,00:00.0,1005,32986944.94
536,Nonskid Tire Company,00:00.0,00:00.0,912,32986944.94
520,Modern Bike Store,00:00.0,00:00.0,912,32464340.43
1948,Classic Cycle Store,00:00.0,00:00.0,913,32464340.43
1136,Rental Bikes,00:00.0,00:00.0,822,32199454.26
1092,Good Toys,00:00.0,00:00.0,639,32199454.26
494,Travel Systems,00:00.0,00:00.0,1004,32050140.77
568,Hobby Store,00:00.0,00:00.0,640,31400571.45
340,eCommerce Bikes,00:00.0,00:00.0,638,31400571.45
366,Activity Center,00:00.0,00:00.0,640,31400571.45
414,Lubricant and Grease Suppliers,00:00.0,00:00.0,639,31400571.45
440,Juvenile Sports Equipment,00:00.0,00:00.0,639,31400571.45
792,Rally Day Mall,00:00.0,00:00.0,640,31400571.45
798,Sales and Supply Company,00:00.0,00:00.0,639,31400571.45
734,Superlative Bikes,00:00.0,00:00.0,639,31400571.45
1202,Noiseless Gear Company,00:00.0,00:00.0,639,31400571.45
988,Manufacturers Inc,00:00.0,00:00.0,639,31400571.45
1898,Valuable Bike Parts Company,00:00.0,00:00.0,640,31400571.45
1918,Simple Bike Parts,00:00.0,00:00.0,1005,31400571.45
1924,Bike Products and Accessories,00:00.0,00:00.0,639,31400571.45
1246,Finer Parts Shop,00:00.0,00:00.0,913,29688250.44
880,The Bike Shop,00:00.0,00:00.0,1005,29688250.44
878,Bicycle Outfitters,00:00.0,00:00.0,638,28857191.5
786,Outdoor Equipment Store,00:00.0,00:00.0,639,28857191.5
820,Weekend Tours,00:00.0,00:00.0,639,28857191.5
692,Grand Discount Store,00:00.0,00:00.0,640,28857191.5
664,Casual Bicycle Store,00:00.0,00:00.0,640,28857191.5
422,Bike Boutique,00:00.0,00:00.0,639,28857191.5
320,Metropolitan Sales and Rental,00:00.0,00:00.0,1004,28857191.5
1052,Traditional Department Stores,00:00.0,00:00.0,639,28857191.5
1316,Wheelsets Storehouse,00:00.0,00:00.0,639,28857191.5
1450,Guaranteed Sales and Service,00:00.0,00:00.0,639,28857191.5
1422,Fashionable Department Stores,00:00.0,00:00.0,639,28857191.5
1936,Active Transport Inc.,00:00.0,00:00.0,1004,28857191.5
1878,Immediate Repair Shop,00:00.0,00:00.0,640,28857191.5
1868,Executive Gift Store,00:00.0,00:00.0,639,28857191.5
418,Transportation Options,00:00.0,00:00.0,457,28469944.3
886,Our Sporting Goods Store,00:00.0,00:00.0,639,28469944.3
620,Tandem Bicycle Store,00:00.0,00:00.0,547,27475500.02
766,Extreme Toy Store,00:00.0,00:00.0,639,27475500.02
292,Next-Door Bike Store,00:00.0,00:00.0,638,27475500.02
326,Worthwhile Activity Store,00:00.0,00:00.0,640,27475500.02
1096,Retail Toy Store,00:00.0,00:00.0,730,27475500.02
1216,Beneficial Exercises and Activities,00:00.0,00:00.0,547,26832878.55
1186,Basic Bike Company,00:00.0,00:00.0,914,26389555.95
1174,Sure & Reliable Sporting Goods,00:00.0,00:00.0,638,26389555.95
1150,Certified Bicycle Supply,00:00.0,00:00.0,639,26389555.95
1028,Progressive Sports,00:00.0,00:00.0,639,26389555.95
938,Two Bike Shops,00:00.0,00:00.0,639,26389555.95
1424,Closeout Boutique,00:00.0,00:00.0,639,26389555.95
1470,All Cycle Shop,00:00.0,00:00.0,640,26389555.95
1290,Frugal Bike Shop,00:00.0,00:00.0,639,26389555.95
1388,Official Parts Shop,00:00.0,00:00.0,640,26389555.95
1320,Security Racks and Locks Wholesalers,00:00.0,00:00.0,639,26389555.95
472,Safe Cycles Shop,00:00.0,00:00.0,639,26389555.95
744,First Department Stores,00:00.0,00:00.0,640,26389555.95
762,Friendly Bike Shop,00:00.0,00:00.0,640,26389555.95
892,Coho Sports,00:00.0,00:00.0,639,26389555.95
802,Successful Sales Company,00:00.0,00:00.0,639,26389555.95
1982,Mail-Order Outlet,00:00.0,00:00.0,639,26389555.95
1966,Convenient Sales and Service,00:00.0,00:00.0,639,26389555.95
1976,Exhilarating Cycles,00:00.0,00:00.0,640,25640112.61
1994,World of Bikes,00:00.0,00:00.0,639,25640112.61
746,Grand Sport Boutique,00:00.0,00:00.0,639,25640112.61
638,Responsible Bike Dealers,00:00.0,00:00.0,639,25640112.61
684,This Area Sporting Goods,00:00.0,00:00.0,640,25640112.61
452,Field Trip Inc,00:00.0,00:00.0,638,25640112.61
516,Initial Bike Company,00:00.0,00:00.0,639,25640112.61
546,Client Discount Store,00:00.0,00:00.0,639,25640112.61
382,Work and Play Association,00:00.0,00:00.0,639,25640112.61
1346,Fitness Hotel,00:00.0,00:00.0,639,25640112.61
1266,Reasonable Bicycle Sales,00:00.0,00:00.0,639,25640112.61
1822,Gift and Toy Store,00:00.0,00:00.0,640,25640112.61
1858,Bicycle Lines Distributors,00:00.0,00:00.0,639,25640112.61
954,Futuristic Sport Distributors,00:00.0,00:00.0,640,25640112.61
1188,"Fabrikam Inc., West",00:00.0,00:00.0,639,25640112.61
1242,Field Trip Store,00:00.0,00:00.0,639,25640112.61
1074,Recreation Systems,00:00.0,00:00.0,639,25250042.56
584,Curbside Universe,00:00.0,00:00.0,639,25250042.56
604,Mechanical Sports Center,00:00.0,00:00.0,639,25250042.56
634,Riverside Company,00:00.0,00:00.0,639,25250042.56
650,Distance Bikes,00:00.0,00:00.0,639,23550428.59
722,Pedals Warehouse,00:00.0,00:00.0,1005,23550428.59
698,Bike Rims Company,00:00.0,00:00.0,639,23550428.59
898,Tough and Reliable Parts,00:00.0,00:00.0,730,23550428.59
818,Suburban Cycle Shop,00:00.0,00:00.0,730,23090861.46
822,Racing Bike Outlet,00:00.0,00:00.0,547,23090861.46
1068,Superior Hardware Distributors,00:00.0,00:00.0,639,23090861.46
1048,Countryside Company,00:00.0,00:00.0,548,23090861.46
1218,Fad Outlet,00:00.0,00:00.0,639,23090861.46
1138,Roving Sports,00:00.0,00:00.0,640,23090861.46
1412,City Manufacturing,00:00.0,00:00.0,547,23090861.46
1438,Some Discount Store,00:00.0,00:00.0,914,23090861.46
1270,Outdoor Sports Supply,00:00.0,00:00.0,549,23090861.46
1252,Up-To-Date Sports,00:00.0,00:00.0,274,22775955.44
1276,Metal Clearing House,00:00.0,00:00.0,274,22775955.44
1298,Racing Partners,00:00.0,00:00.0,274,22775955.44
1352,Grand Industries,00:00.0,00:00.0,274,22775955.44
1476,Low Price Cycles,00:00.0,00:00.0,274,22775955.44
1130,Efficient Cycling,00:00.0,00:00.0,274,22775955.44
1156,Leisure Activities,00:00.0,00:00.0,273,22775955.44
1238,Consolidated Messenger,00:00.0,00:00.0,274,22775955.44
1166,Home Town Bike Store,00:00.0,00:00.0,274,22775955.44
1022,Sharp Bikes,00:00.0,00:00.0,273,22775955.44
960,The Showroom,00:00.0,00:00.0,912,22775955.44
1010,Cross-Country Riding Supplies,00:00.0,00:00.0,273,22775955.44
980,Wholesale Parts,00:00.0,00:00.0,273,22775955.44
782,Neighborhood Store,00:00.0,00:00.0,273,22775955.44
896,Quick Delivery Service,00:00.0,00:00.0,273,22775955.44
708,South Bike Company,00:00.0,00:00.0,274,22775955.44
720,Machines & Cycles Store,00:00.0,00:00.0,275,22775955.44
618,Petroleum Products Distributors,00:00.0,00:00.0,274,22775955.44
626,Camping and Sports Store,00:00.0,00:00.0,274,22775955.44
580,Farthest Bike Store,00:00.0,00:00.0,274,22775955.44
566,Courteous Bicycle Specialists,00:00.0,00:00.0,274,22775955.44
552,Requisite Part Supply,00:00.0,00:00.0,274,22775955.44
438,First-Rate Outlet,00:00.0,00:00.0,273,22775955.44
464,Odometers and Accessories Company,00:00.0,00:00.0,274,22775955.44
490,Commuter Bicycle Store,00:00.0,00:00.0,274,22775955.44
380,Workout Emporium,00:00.0,00:00.0,274,22775955.44
386,Nice Bikes,00:00.0,00:00.0,273,22775955.44
346,Designated Distributors,00:00.0,00:00.0,273,22775955.44
1972,Mercantile Outlet,00:00.0,00:00.0,273,22775955.44
1940,Fasteners & Bolts Outlet,00:00.0,00:00.0,274,22775955.44
1928,Quick Parts and Service,00:00.0,00:00.0,274,22775955.44
1916,Active Life Toys,00:00.0,00:00.0,273,22775955.44
540,Metro Bike Works,00:00.0,00:00.0,639,22435098.54
1480,Orange Bicycle Company,00:00.0,00:00.0,639,22435098.54
1372,Friendly Bike Shop,00:00.0,00:00.0,547,22435098.54
1404,Rally Master Company Inc,00:00.0,00:00.0,275,21466302.84
1330,Elite Bikes,00:00.0,00:00.0,273,21466302.84
1294,Go-cart and Bike Specialists,00:00.0,00:00.0,274,21466302.84
1426,Bicycle Merchandise Warehouse,00:00.0,00:00.0,273,21466302.84
1490,Engineered Bike Systems,00:00.0,00:00.0,274,21466302.84
1796,Professional Containers and Packaging Co.,00:00.0,00:00.0,273,21466302.84
1812,Maintenance and Repair for Bicycles,00:00.0,00:00.0,274,21466302.84
1860,Sparkling Paint and Finishes,00:00.0,00:00.0,273,21466302.84
1850,Wheel Gallery,00:00.0,00:00.0,274,21466302.84
990,Locks Company,00:00.0,00:00.0,274,21466302.84
978,Commercial Sporting Goods,00:00.0,00:00.0,273,21466302.84
936,Journey Sporting Goods,00:00.0,00:00.0,273,21466302.84
1146,Vale Riding Supplies,00:00.0,00:00.0,275,21466302.84
1100,All Seasons Sports Supply,00:00.0,00:00.0,275,21466302.84
450,Unsurpassed Bikes,00:00.0,00:00.0,274,21466302.84
316,Fun Toys and Bikes,00:00.0,00:00.0,274,21466302.84
338,Systematic Sales,00:00.0,00:00.0,274,21466302.84
294,Professional Sales and Service,00:00.0,00:00.0,274,21466302.84
376,Extended Bike Sales,00:00.0,00:00.0,273,21466302.84
630,Rural Department Store,00:00.0,00:00.0,275,21466302.84
652,Westside Plaza,00:00.0,00:00.0,275,21466302.84
644,Aerobic Exercise Company,00:00.0,00:00.0,274,21466302.84
696,Extreme Riding Supplies,00:00.0,00:00.0,274,21466302.84
682,Thrilling Bike Tours,00:00.0,00:00.0,274,21466302.84
670,Fitness Cycling,00:00.0,00:00.0,275,21466302.84
724,Two Wheels Cycle Store,00:00.0,00:00.0,273,21466302.84
754,Distinctive Store,00:00.0,00:00.0,273,21466302.84
902,Cash & Carry Bikes,00:00.0,00:00.0,547,21466302.84
